,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
2730,Airboat Tours,"14302 Stewart Road, Galveston","{'lat': 29.20742, 'lng': -94.94925429999999}","Airboat Tours14302 Stewart Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2731,Hummel's General Store & Deli,"13722 Termini-San Luis Pass Road, Galveston","{'lat': 29.2081885, 'lng': -94.93808489999999}","Hummel's General Store & Deli13722 Termini-San Luis Pass Road, Galveston","Hummel's General Store & Deli13722 Termini San Luis Pass Rd Galveston, TX 77554",91
2732,Allex's Seafood Market West,"13730 Termini-San Luis Pass Road, Galveston","{'lat': 29.2083771, 'lng': -94.9377166}","Allex's Seafood Market West13730 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2734,Gulf Coast a/c heating & electrical,"13680 Farm to Market Road 3005, Galveston","{'lat': 29.2088397, 'lng': -94.9368478}","Gulf Coast a/c heating & electrical13680 Farm to Market Road 3005, Galveston","East Beach Free ParkingApffel Park Road, Galveston",86
2735,Galveston Homes & Property- Wendell Odorizzi,"4127 Pirates Alley, Galveston","{'lat': 29.20347039999999, 'lng': -94.93917169999999}","Galveston Homes & Property- Wendell Odorizzi4127 Pirates Alley, Galveston","Parking utmb365-379 11th Street, Galveston",86
2736,Photography by Melissa,"3827 Las Palmas Street, Galveston","{'lat': 29.2045778, 'lng': -94.9477275}","Photography by Melissa3827 Las Palmas Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2737,Economy Liquor West End,"13655 Termini-San Luis Pass Road ste a, Galveston","{'lat': 29.207885, 'lng': -94.93600599999999}","Economy Liquor West End13655 Termini-San Luis Pass Road ste a, Galveston","Parking utmb365-379 11th Street, Galveston",86
2738,Fabian Boarding Kennel,"13720 Stewart Road ste a, Galveston","{'lat': 29.2157946, 'lng': -94.9400908}","Fabian Boarding Kennel13720 Stewart Road ste a, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2739,Gary Greene Vacation Rentals,"13450 Termini-San Luis Pass Road, Galveston","{'lat': 29.2116152, 'lng': -94.9301261}","Gary Greene Vacation Rentals13450 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2740,"West End Gym, LLC","13680 FM3005 Suites B & C, Galveston","{'lat': 29.2089535, 'lng': -94.9367098}","West End Gym, LLC13680 FM3005 Suites B & C, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2741,Pirates Liquor,"13712 Termini-San Luis Pass Road, Galveston","{'lat': 29.2083045, 'lng': -94.93793550000001}","Pirates Liquor13712 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2742,Laffite's Cove Nature Society,"3503 Eckert Drive, Galveston","{'lat': 29.21761289999999, 'lng': -94.9344437}","Laffite's Cove Nature Society3503 Eckert Drive, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2743,Kayaking launch,"14310 Stewart Road, Galveston","{'lat': 29.2076232, 'lng': -94.94918159999999}","Kayaking launch14310 Stewart Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2744,Shipra Lakeside Estate,"6345+RC7, Galveston","{'lat': 29.2070625, 'lng': -94.94143749999999}","Shipra Lakeside Estate6345+RC7, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2745,Tidewater Boat Rentals,"14302 Stewart Road B, Galveston","{'lat': 29.207382, 'lng': -94.949243}","Tidewater Boat Rentals14302 Stewart Road B, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2746,At&T,"12 Mile Road, Galveston","{'lat': 29.2109152, 'lng': -94.9395333}","At&T12 Mile Road, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2747,Mitchell Southwest Maintenance,"14301 Stewart Road, Galveston","{'lat': 29.20667, 'lng': -94.948899}","Mitchell Southwest Maintenance14301 Stewart Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2748,Blue Bay Vista Vacation Rental,"14326 Stewart Road, Galveston","{'lat': 29.207068, 'lng': -94.94991329999999}","Blue Bay Vista Vacation Rental14326 Stewart Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2749,West Isle Presbyterian Church,"13724 Stewart Road, Galveston","{'lat': 29.2121199, 'lng': -94.9388314}","West Isle Presbyterian Church13724 Stewart Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2751,Yes Fix,"13718 Stewart Road, Galveston","{'lat': 29.213448, 'lng': -94.9393125}","Yes Fix13718 Stewart Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2752,City Of Galveston,"Stewart Road, Galveston","{'lat': 29.21144, 'lng': -94.93803799999999}","City Of GalvestonStewart Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2754,T & M Welding Services,"3707 El Lago, Galveston","{'lat': 29.2057085, 'lng': -94.9502139}","T & M Welding Services3707 El Lago, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2756,Wendell Odorizzi | Realtor,"13706 Farm to Market Road 3005, Galveston","{'lat': 29.2083851, 'lng': -94.93781129999999}","Wendell Odorizzi | Realtor13706 Farm to Market Road 3005, Galveston","Parking utmb365-379 11th Street, Galveston",86
2761,Texas Camp Company,"14901 Farm to Market Road 3005, Galveston","{'lat': 29.19367219999999, 'lng': -94.9573424}","Texas Camp Company14901 Farm to Market Road 3005, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2763,Shore Havin' Fun Vacation Rental,"3418 Petite Circle, Galveston","{'lat': 29.2162052, 'lng': -94.9502095}","Shore Havin' Fun Vacation Rental3418 Petite Circle, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2764,Pirate's Perfect Pearl Vacation Rental,"3416 Petite Circle, Galveston","{'lat': 29.2163232, 'lng': -94.9502865}","Pirate's Perfect Pearl Vacation Rental3416 Petite Circle, Galveston","Parking utmb365-379 11th Street, Galveston",86
2765,The Phoenician by the Sea,"4017 Vista Boulevard, Galveston","{'lat': 29.2030568, 'lng': -94.9442261}","The Phoenician by the Sea4017 Vista Boulevard, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2766,Sea La Vie,"4019 Vista Boulevard, Galveston","{'lat': 29.2029595, 'lng': -94.9442242}","Sea La Vie4019 Vista Boulevard, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2767,Harpoon Haven,"4015 War Chest Court, Galveston","{'lat': 29.2036739, 'lng': -94.9409964}","Harpoon Haven4015 War Chest Court, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2768,The Blue Coconut,"4027 Vista Boulevard, Galveston","{'lat': 29.2022609, 'lng': -94.94379389999999}","The Blue Coconut4027 Vista Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2770,Coastal Vibes Texas,"4020 Oleander Drive, Galveston","{'lat': 29.20136399999999, 'lng': -94.94572559999999}","Coastal Vibes Texas4020 Oleander Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2771,Surf Delight Beach House,"Surf Drive, Galveston","{'lat': 29.2013032, 'lng': -94.942613}","Surf Delight Beach HouseSurf Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2772,Ross 5,"4123 Pirates Alley, Galveston","{'lat': 29.2043213, 'lng': -94.9366295}","Ross 54123 Pirates Alley, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2773,Silverscape,"4115 Silver Reef Court, Galveston","{'lat': 29.2001526, 'lng': -94.9455005}","Silverscape4115 Silver Reef Court, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2774,bermuda beach,"Bermuda Beach, Galveston","{'lat': 29.2094059, 'lng': -94.9240882}","bermuda beachBermuda Beach, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2775,Subway,"16510 Termini-San Luis Pass Road Suite B, Galveston","{'lat': 29.1844301, 'lng': -94.97123160000001}","Subway16510 Termini-San Luis Pass Road Suite B, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2776,Shrimp N Stuff Food Truck,"16603 San Luis Pass Rd. Galveston, Jamaica Beach","{'lat': 29.1829592, 'lng': -94.9732931}","Shrimp N Stuff Food Truck16603 San Luis Pass Rd. Galveston, Jamaica Beach","Parking utmb365-379 11th Street, Galveston",86
2777,Venados Cantina,"16510 Termini-San Luis Pass Road, Galveston","{'lat': 29.1843035, 'lng': -94.971122}","Venados Cantina16510 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2778,Arney’s Bayside Grill,"17200 Termini-San Luis Pass Road, Galveston","{'lat': 29.1800925, 'lng': -94.98233139999999}","Arney’s Bayside Grill17200 Termini-San Luis Pass Road, Galveston","Arney’s Bayside Grill17200 Termini-San Luis Pass Rd Galveston, TX 77554",91
2779,Nate's Westend Seafood & Steaks,"17515 Termini-San Luis Pass Road, Galveston","{'lat': 29.1752194, 'lng': -94.9850694}","Nate's Westend Seafood & Steaks17515 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2785,"Begga Hall, LMT","16708 San Luis Pass ste M Jamaica Beach, Galveston","{'lat': 29.181682, 'lng': -94.976451}","Begga Hall, LMT16708 San Luis Pass ste M Jamaica Beach, Galveston","Parking utmb365-379 11th Street, Galveston",86
2786,David Barnes REALTOR,"16602 Termini-San Luis Pass Road, Galveston","{'lat': 29.18322909999999, 'lng': -94.9729698}","David Barnes REALTOR16602 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2789,Soaps Linen Services & Washateria,"16708 Termini-San Luis Pass Road # H, Galveston","{'lat': 29.1821765, 'lng': -94.9756317}","Soaps Linen Services & Washateria16708 Termini-San Luis Pass Road # H, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2790,BTLS Galveston - Outdoor Storage,"17516 Farm to Market Road 3005, Galveston","{'lat': 29.1761406, 'lng': -94.98494170000001}","BTLS Galveston - Outdoor Storage17516 Farm to Market Road 3005, Galveston","Parking utmb365-379 11th Street, Galveston",86
2791,Chevron,"17523 Farm to Market Road 3005, Galveston","{'lat': 29.1748447, 'lng': -94.9858486}","Chevron17523 Farm to Market Road 3005, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2792,Seaside Baptist Church,"16534 Termini-San Luis Pass Road, Galveston","{'lat': 29.1832985, 'lng': -94.97272650000001}","Seaside Baptist Church16534 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2793,Southern Homes,"16510 Termini-San Luis Pass Road, Galveston","{'lat': 29.1844447, 'lng': -94.97120629999999}","Southern Homes16510 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2794,Booth Amber L,"10181 Termini-San Luis Pass Road, Galveston","{'lat': 29.1756385, 'lng': -94.9846768}","Booth Amber L10181 Termini-San Luis Pass Road, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2795,"Matlock Marine Construction, Inc.","5272 Jamaica Beach, Galveston","{'lat': 29.1783323, 'lng': -94.9780464}","Matlock Marine Construction, Inc.5272 Jamaica Beach, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2796,Philip J Douglas Inc,"16708 Farm to Market Road 3005, Galveston","{'lat': 29.1819106, 'lng': -94.9760201}","Philip J Douglas Inc16708 Farm to Market Road 3005, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2797,James Danny,"16701 Kingston Way, Galveston","{'lat': 29.1897607, 'lng': -94.9815854}","James Danny16701 Kingston Way, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2798,Bay Breeze Waterfront Vacation House,"16703 Managua Way, Galveston","{'lat': 29.1897119, 'lng': -94.9828462}","Bay Breeze Waterfront Vacation House16703 Managua Way, Galveston","Parking utmb365-379 11th Street, Galveston",86
2799,Coastal Cottage Homes,"16607 Flounder Way, Galveston","{'lat': 29.1939804, 'lng': -94.98378009999999}","Coastal Cottage Homes16607 Flounder Way, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2801,Jb Food,"16603 Termini-San Luis Pass Road, Galveston","{'lat': 29.1829134, 'lng': -94.9733255}","Jb Food16603 Termini-San Luis Pass Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2802,Seven Seas Grocery,"17523 Termini-San Luis Pass Road, Galveston","{'lat': 29.174943, 'lng': -94.9855302}","Seven Seas Grocery17523 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2805,Jamaica RV resort,Galveston,"{'lat': 29.1789238, 'lng': -94.981526}",Jamaica RV resortGalveston,"Galveston RV Resort and Marina6310 Heards Lane, Galveston",86
2806,Casa Mingo,"17402 Bristow Drive, Galveston","{'lat': 29.1760537, 'lng': -94.98348089999999}","Casa Mingo17402 Bristow Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2807,Paradise Grill,"18001 Termini-San Luis Pass Road, Galveston","{'lat': 29.1721814, 'lng': -94.9900159}","Paradise Grill18001 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2809,Holiday Inn Club Vacations Galveston Seaside Resort,"19320 Termini-San Luis Pass Road, Galveston","{'lat': 29.1625961, 'lng': -95.0134236}","Holiday Inn Club Vacations Galveston Seaside Resort19320 Termini-San Luis Pass Road, Galveston","Holiday Inn Club Vacations Galveston Beach Resort11743 Termini-San Luis Pass Road #6293, Galveston",90
2810,Argonauta,"18803 West De Vaca Lane, Galveston","{'lat': 29.16554270000001, 'lng': -94.9997789}","Argonauta18803 West De Vaca Lane, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2811,Texas Campgrounds Club,"18100 Termini-San Luis Pass Road, Galveston","{'lat': 29.1713063, 'lng': -94.9915121}","Texas Campgrounds Club18100 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2812,Next Residence LLC,"3911 Warrior Court, Galveston","{'lat': 29.17157689999999, 'lng': -95.00166899999999}","Next Residence LLC3911 Warrior Court, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2814,Rick's Beach Rentals,"17620 Termini-San Luis Pass Road, Galveston","{'lat': 29.174245, 'lng': -94.988039}","Rick's Beach Rentals17620 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2815,Beach Town Tours (operating at 1524 8 Mile Road),"18043 Shaman Road, Galveston","{'lat': 29.1736247, 'lng': -94.99489559999999}","Beach Town Tours (operating at 1524 8 Mile Road)18043 Shaman Road, Galveston","East Beach Free ParkingApffel Park Road, Galveston",86
2816,"Longworth Law Firm, P.C.","4106 Kiva Road, Galveston","{'lat': 29.1675126, 'lng': -95.004024}","Longworth Law Firm, P.C.4106 Kiva Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2817,Sales Center at Galveston Seaside Resort,"19320 Termini-San Luis Pass Road, Galveston","{'lat': 29.1625455, 'lng': -95.0134922}","Sales Center at Galveston Seaside Resort19320 Termini-San Luis Pass Road, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2818,Galveston,"19320 Termini-San Luis Pass Road, Galveston","{'lat': 29.1625455, 'lng': -95.0134922}","Galveston19320 Termini-San Luis Pass Road, Galveston","ATM13722 Termini-San Luis Pass Road, Galveston",88
2819,Aqua La Vista,"3915 Kiva Road, Galveston","{'lat': 29.1698963, 'lng': -95.0030074}","Aqua La Vista3915 Kiva Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2821,Life's A Beach,"19130 Kahala Drive, Galveston","{'lat': 29.1609153, 'lng': -95.00735859999999}","Life's A Beach19130 Kahala Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2822,Summer Wind- Coastal Waves Vacations,"18915 West De Vaca Lane, Galveston","{'lat': 29.164519, 'lng': -95.0015825}","Summer Wind- Coastal Waves Vacations18915 West De Vaca Lane, Galveston","Parking utmb365-379 11th Street, Galveston",86
2823,Beachfront Rose,"18911 West De Vaca Lane, Galveston","{'lat': 29.1642745, 'lng': -95.001485}","Beachfront Rose18911 West De Vaca Lane, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2825,The Blue Pelican,"18811 West De Vaca Lane, Galveston","{'lat': 29.1651809, 'lng': -95.00040469999999}","The Blue Pelican18811 West De Vaca Lane, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2826,HICV GSR Signature Building,"19418 Termini-San Luis Pass Road, Galveston","{'lat': 29.1587615, 'lng': -95.01144939999999}","HICV GSR Signature Building19418 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2827,The Dunes of West Beach Access Point ,nan,nan,nan,GalvestonGalveston,60
2828,Indian Summer,"18410 East De Vaca Lane, Galveston","{'lat': 29.168618, 'lng': -94.9954479}","Indian Summer18410 East De Vaca Lane, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2830,Acapulco Beach,"18001 Termini-San Luis Pass Road, Galveston","{'lat': 29.1722005, 'lng': -94.9900072}","Acapulco Beach18001 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2831,Beach Front Paradise,"4413 Tampico Way, Galveston","{'lat': 29.1721906, 'lng': -94.988974}","Beach Front Paradise4413 Tampico Way, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2832,Bayside Storage Inc,"17616 Termini-San Luis Pass Road, Galveston","{'lat': 29.175225, 'lng': -94.9881407}","Bayside Storage Inc17616 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2833,Bait Daddys,"17630 Termini-San Luis Pass Road, Galveston","{'lat': 29.1741438, 'lng': -94.9883084}","Bait Daddys17630 Termini-San Luis Pass Road, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2834,No Worries Galveston,"17711 Termini-San Luis Pass Road, Galveston","{'lat': 29.1734271, 'lng': -94.9878225}","No Worries Galveston17711 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2835,Beach Therapy,"17631 Glei, Galveston","{'lat': 29.1732069, 'lng': -94.9867305}","Beach Therapy17631 Glei, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2836,Cdreamsonthebeach,"17621 Termini-San Luis Pass Road, Galveston","{'lat': 29.1739782, 'lng': -94.98689759999999}","Cdreamsonthebeach17621 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2837,Karankawa Beach Access Point ,nan,nan,nan,GalvestonGalveston,60
2855,The West End Marina and Restaurants,"21706 Burnet Drive, Galveston","{'lat': 29.14499999999999, 'lng': -95.04703669999999}","The West End Marina and Restaurants21706 Burnet Drive, Galveston","Parking utmb365-379 11th Street, Galveston",86
2857,SLOPPY AZZ PHILLY,"21502 Termini-San Luis Pass Road, Galveston","{'lat': 29.1415746, 'lng': -95.0405224}","SLOPPY AZZ PHILLY21502 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2858,Palapa Bar & Restaurant 2nd floor,Galveston,"{'lat': 29.14511240000001, 'lng': -95.0470705}",Palapa Bar & Restaurant 2nd floorGalveston,"Island Spot hookah Bar , Food & smoke shop (Halal)1017 61st Street, Galveston",86
2859,The Sandbar Grille,"21706 Burnet Drive, Galveston","{'lat': 29.14497749999999, 'lng': -95.0470522}","The Sandbar Grille21706 Burnet Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2861,Beachsiders Bar & Grill,"21502 Termini-San Luis Pass Road, Galveston","{'lat': 29.14157609999999, 'lng': -95.040481}","Beachsiders Bar & Grill21502 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2864,Sea Isle Property Owners Association,"21704 Burnet Drive, Galveston","{'lat': 29.1447397, 'lng': -95.0467666}","Sea Isle Property Owners Association21704 Burnet Drive, Galveston","Parking utmb365-379 11th Street, Galveston",86
2865,Southern Tide Golf Carts,"21430 Termini-San Luis Pass Road, Galveston","{'lat': 29.1424451, 'lng': -95.0392133}","Southern Tide Golf Carts21430 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
2866,K6 Island Sports,"21430 Termini-San Luis Pass Road, Galveston","{'lat': 29.1424412, 'lng': -95.03922299999999}","K6 Island Sports21430 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2867,Diamond Beach Galveston,"Sea Isle (Mailing, 21502 Termini-San Luis Pass Road #6240, Galveston","{'lat': 29.1415103, 'lng': -95.04048879999999}","Diamond Beach GalvestonSea Isle (Mailing, 21502 Termini-San Luis Pass Road #6240, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2869,Beau Soleil,"21901 Kennedy Drive, Galveston","{'lat': 29.1376276, 'lng': -95.04514809999999}","Beau Soleil21901 Kennedy Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2870,Brewster Key,"3722 Brewster Key, Galveston","{'lat': 29.14755139999999, 'lng': -95.04652109999999}","Brewster Key3722 Brewster Key, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2872,Sea Isle Bait Camp,"21706 Burnet Drive, Galveston","{'lat': 29.1451915, 'lng': -95.04688279999999}","Sea Isle Bait Camp21706 Burnet Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2873,Sterling Realtors Galveston Vacation Rentals,"21502 Termini-San Luis Pass Road, Galveston","{'lat': 29.1415875, 'lng': -95.04049820000002}","Sterling Realtors Galveston Vacation Rentals21502 Termini-San Luis Pass Road, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
2874,Sunset Cove,"20710 Farm to Market Road 3005, Galveston","{'lat': 29.1476937, 'lng': -95.0311546}","Sunset Cove20710 Farm to Market Road 3005, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2875,Dos Vacas Muertas Bird Sanctuary,"Seabird Drive, Galveston","{'lat': 29.1458973, 'lng': -95.0406795}","Dos Vacas Muertas Bird SanctuarySeabird Drive, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2876,The Blue Pearl Vacation Rental,"3919 San Jacinto Drive, Galveston","{'lat': 29.1462186, 'lng': -95.0435859}","The Blue Pearl Vacation Rental3919 San Jacinto Drive, Galveston","Parking utmb365-379 11th Street, Galveston",86
2877,Off the Hook,"21225 Gulf Drive, Galveston","{'lat': 29.1441745, 'lng': -95.0350201}","Off the Hook21225 Gulf Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2878,Muril by the Bay,"3912 Reeves Drive, Galveston","{'lat': 29.1456737, 'lng': -95.0447688}","Muril by the Bay3912 Reeves Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2879,Bayside Sanctuary Vacation Rental,"3754 Concho Key, Galveston","{'lat': 29.1482517, 'lng': -95.0452761}","Bayside Sanctuary Vacation Rental3754 Concho Key, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2880,Healing and Prayer Center Galveston,"4106 Reeves Drive, Galveston","{'lat': 29.143431, 'lng': -95.0429058}","Healing and Prayer Center Galveston4106 Reeves Drive, Galveston","Parking utmb365-379 11th Street, Galveston",86
2881,Parijatha (Coral Jasmine),"21232 Gulf Drive, Galveston","{'lat': 29.1435052, 'lng': -95.0351914}","Parijatha (Coral Jasmine)21232 Gulf Drive, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2882,Suntastic Adventures LLC,"Sea Isle, Galveston","{'lat': 29.14302379999999, 'lng': -95.043554}","Suntastic Adventures LLCSea Isle, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2883,Weyant Electric,"6017 Sea Isle, Galveston","{'lat': 29.14302379999999, 'lng': -95.043554}","Weyant Electric6017 Sea Isle, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2884,Ragin Cajun Boat Trailer Services.,"6093 sea isle, Galveston","{'lat': 29.14302379999999, 'lng': -95.043554}","Ragin Cajun Boat Trailer Services.6093 sea isle, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2885,GypsyGirl Nails,"6039 Sea Isle, Galveston","{'lat': 29.14302379999999, 'lng': -95.043554}","GypsyGirl Nails6039 Sea Isle, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2886,Frenzy Guide Service,"6415 Sea Isle, Galveston","{'lat': 29.1430125, 'lng': -95.043545}","Frenzy Guide Service6415 Sea Isle, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2887,Fishing Pier,"3702 Concho Key, Galveston","{'lat': 29.1493026, 'lng': -95.0459298}","Fishing Pier3702 Concho Key, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2888,The Salty Dog,"21404 Gulf Drive, Galveston","{'lat': 29.1418365, 'lng': -95.03779349999999}","The Salty Dog21404 Gulf Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2889,Sedation Safety Resources,"6052 Sea Isle, Galveston","{'lat': 29.1429896, 'lng': -95.0437098}","Sedation Safety Resources6052 Sea Isle, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2894,Arthur's Sea Shack in Sea Isle,"3827 Antascosa Key, Galveston","{'lat': 29.1460397, 'lng': -95.04620290000001}","Arthur's Sea Shack in Sea Isle3827 Antascosa Key, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2895,Mike's Golf Cart Repair,"21515 Zachary Drive, Galveston","{'lat': 29.1414775, 'lng': -95.0411027}","Mike's Golf Cart Repair21515 Zachary Drive, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
2896,Renovations Galveston,"4206 Panola Drive, Galveston","{'lat': 29.14181499999999, 'lng': -95.0426143}","Renovations Galveston4206 Panola Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
2898,Milton Pines Park and Pavilion,"4119 Mason Drive, Galveston","{'lat': 29.1425943, 'lng': -95.045085}","Milton Pines Park and Pavilion4119 Mason Drive, Galveston","UTMB 17E113-191 11th Street, Galveston",86
2901,Catsmews,"21518 Kennedy Drive, Galveston","{'lat': 29.1403583, 'lng': -95.04037459999999}","Catsmews21518 Kennedy Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2902,Blue Marlin Beach House Rental,"3631 Antascosa Key, Galveston","{'lat': 29.1481052, 'lng': -95.0478098}","Blue Marlin Beach House Rental3631 Antascosa Key, Galveston","UTMB 17E113-191 11th Street, Galveston",86
